City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Ketchikan,US,2022-11-08 03:33:12,55.3422,-131.6461,30.67,29,0,6.91
272,Anadyr,RU,2022-11-08 03:35:31,64.75,177.4833,27.1,92,75,17.9
273,Namatanai,PG,2022-11-08 03:36:32,-3.6667,152.4333,83.52,73,100,7.38
274,Pacific Grove,US,2022-11-08 03:36:32,36.6177,-121.9166,55.09,71,40,8.99
275,Filotion,GR,2022-11-08 03:36:33,37.05,25.5,57.9,74,10,22.08
276,Ampanihy,MG,2022-11-08 03:36:33,-24.7,44.75,75.29,62,1,4.0
277,Henties Bay,NA,2022-11-08 03:36:33,-22.116,14.2845,60.13,93,2,6.87
278,Flic En Flac,MU,2022-11-08 03:36:34,-20.2742,57.3631,77.52,69,47,6.62
279,Mantua,IT,2022-11-08 03:36:34,45.1667,10.7833,47.35,86,49,1.99
280,Paamiut,GL,2022-11-08 03:36:34,61.994,-49.6678,16.7,56,100,8.16
281,Buraydah,SA,2022-11-08 03:34:47,26.326,43.975,63.05,40,0,7.81
282,Hasaki,JP,2022-11-08 03:36:35,35.7333,140.8333,72.28,52,0,10.92
283,Viedma,AR,2022-11-08 03:36:35,-40.8135,-62.9967,73.65,30,37,21.97
284,Thunder Bay,CA,2022-11-08 03:34:02,48.4001,-89.3168,26.58,86,75,2.3
285,Flin Flon,CA,2022-11-08 03:36:36,54.7682,-101.865,8.29,84,100,8.23
286,Villa Union,MX,2022-11-08 03:36:36,23.2,-106.2333,76.01,94,0,3.44
287,Santa Cruz,BO,2022-11-08 03:32:17,-17.8,-63.1667,71.06,60,59,6.91
288,Diu,IN,2022-11-08 03:36:37,20.7141,70.9822,82.15,44,0,4.52
289,Kamaishi,JP,2022-11-08 03:36:37,39.2667,141.8833,58.98,63,80,4.99
290,Dehloran,IR,2022-11-08 03:36:37,32.6941,47.2679,65.59,21,0,4.94
